_id,1_open,2_high,3_low,4_close,5_volume,date
5fff42b47550509c5264a79d,289.46,300.6,285.22,297.43,131852981.0,2020-01-03
5fff42b47550509c5264a79c,293.79,312.67,292.75,310.33,168452059.0,2020-01-10
5fff42b47550509c5264a79b,311.64,318.74,309.55,318.73,162824452.0,2020-01-17
5fff42b47550509c5264a79a,317.19,323.33,315.65,318.31,115445527.0,2020-01-24
5fff42b47550509c5264a799,310.06,327.85,304.88,309.51,216776323.0,2020-01-31
5fff42b47550509c5264a798,304.3,325.22,302.22,320.03,163134650.0,2020-02-07
5fff42b47550509c5264a797,314.18,327.22,313.85,324.95,123065907.0,2020-02-14
5fff42b47550509c5264a796,315.36,324.65,310.5,313.05,119254440.0,2020-02-21
5fff42b47550509c5264a795,297.26,304.18,256.37,273.36,349768234.0,2020-02-28
5fff42b47550509c5264a794,282.28,304.0,277.72,289.03,323450224.0,2020-03-06
5fff42b47550509c5264a793,263.75,286.44,248.0,277.97,404405247.0,2020-03-13
5fff42b47550509c5264a792,241.95,259.08,228.0,229.24,405065837.0,2020-03-20
5fff42b47550509c5264a791,228.08,258.68,212.61,247.74,346165813.0,2020-03-27
5fff42b47550509c5264a790,250.74,262.49,236.9,241.41,209252759.0,2020-04-03
5fff42b47550509c5264a78f,250.9,271.7,249.38,267.99,183929846.0,2020-04-09
5fff42b47550509c5264a78e,268.31,288.25,265.83,282.8,207386812.0,2020-04-17
5fff42b47550509c5264a78d,277.95,283.01,265.43,282.97,169846750.0,2020-04-24
5fff42b47550509c5264a78c,281.8,299.0,278.2,289.07,197513427.0,2020-05-01
5fff42b47550509c5264a78b,289.17,310.35,286.32,310.13,168228968.0,2020-05-08
5fff42b47550509c5264a78a,308.1,319.69,300.21,307.71,208536826.0,2020-05-15
5fff42b47550509c5264a789,313.17,320.89,310.32,318.89,133274690.0,2020-05-22
5fff42b47550509c5264a788,323.5,324.24,313.09,317.94,131465363.0,2020-05-29
5fff42b47550509c5264a787,317.75,331.75,317.21,331.5,124490802.0,2020-06-05
5fff42b47550509c5264a786,330.25,354.77,327.32,338.8,202956789.0,2020-06-12
5fff42b47550509c5264a785,333.25,356.56,332.58,349.72,194985086.0,2020-06-19
5fff42b47550509c5264a784,351.34,372.38,351.15,353.63,220750873.0,2020-06-26
5fff42b47550509c5264a783,353.25,370.47,351.28,364.11,124222310.0,2020-07-02
5fff42b47550509c5264a782,370.0,385.27,369.87,383.68,141212101.0,2020-07-10
5fff42b47550509c5264a781,389.06,399.82,375.51,385.31,179660754.0,2020-07-17
5fff42b47550509c5264a780,385.67,397.0,356.58,370.46,165885792.0,2020-07-24
5fff42b47550509c5264a77f,374.84,425.66,372.99,425.04,211898609.0,2020-07-31
5fff42b47550509c5264a77e,432.8,457.65,431.57,444.45,250852555.0,2020-08-07
5fff42b47550509c5264a77d,450.4,464.17,436.4267,459.63,235474473.0,2020-08-14
5fff42b47550509c5264a77c,464.25,499.472,455.8501,497.48,208464758.0,2020-08-21
5fff42b47550509c5264a77b,514.79,515.14,492.21,499.23,265909531.0,2020-08-28
5fff42b47550509c5264a77a,127.58,137.98,110.89,120.96,1166301669.0,2020-09-04
5fff42b47550509c5264a779,113.95,120.5,110.0,112.0,771441734.0,2020-09-11
5fff42b47550509c5264a778,114.72,118.829,106.09,106.84,944934651.0,2020-09-18
5fff42b47550509c5264a777,104.54,112.86,103.1,112.28,847212649.0,2020-09-25
5fff42b47550509c5264a776,115.01,117.72,112.22,113.02,641240539.0,2020-10-02
5fff42b47550509c5264a775,113.91,117.0,112.25,116.97,548575054.0,2020-10-09
5fff42b47550509c5264a774,120.06,125.39,118.15,119.02,881572555.0,2020-10-16
5fff42b47550509c5264a773,119.96,120.419,114.28,115.04,519569644.0,2020-10-23
5fff42b47550509c5264a772,114.01,117.28,107.72,108.86,684767901.0,2020-10-30
5fff42b47550509c5264a771,109.11,119.62,107.32,118.69,609571825.0,2020-11-06
5fff42b47550509c5264a770,120.5,121.99,114.13,119.26,589872919.0,2020-11-13
5fff42b47550509c5264a76f,118.92,120.99,116.81,117.34,389493361.0,2020-11-20
5fff42b47550509c5264a76e,117.18,117.6202,112.59,116.59,364376131.0,2020-11-27
5fff42b47550509c5264a76d,116.97,123.78,116.81,122.25,541563385.0,2020-12-04
5fff42b47550509c5264a76c,122.31,125.95,120.15,122.41,452278651.0,2020-12-11
5fff42b47550509c5264a76b,122.6,129.58,121.54,126.655,621758148.0,2020-12-18
5fff42b47550509c5264a76a,125.02,134.405,123.449,131.97,433757134.0,2020-12-24
